﻿objectid;insee;annee;sante_plaf;educ_plaf;revenu_plaf;idh2;nomcom;pop
238;77227;2013;0.72052287;0.34529032;0.48480262;0.51687194;Hermé;646
345;77336;2013;0.68365314;0.51673754;0.59538143;0.5985907;Neufmoutiers-en-Brie;921
354;77345;2013;0.48052812;0.42703372;0.54065169;0.48273784;Orly-sur-Morin;676
359;77352;2013;0.64891271;0.49574047;0.60488067;0.58317795;Ozouer-le-Voulgis;1837
447;77443;2013;0.41446886;0.46589736;0.5578548;0.47940701;Sancy;379
667;78350;2013;0.71009446;0.84804252;0.82109428;0.79307709;Louveciennes;7054
753;78562;2013;0.71238725;0.70781672;0.64954346;0.68991581;Saint-Léger-en-Yvelines;1456
800;91022;2013;0.22410401;0.52702933;0.52917165;0.42676833;Arrancourt;131
888;91326;2013;0.63849692;0.63496041;0.52051716;0.5979915;Juvisy-sur-Orge;15545
912;91421;2013;0.60046752;0.53724194;0.53995312;0.55922086;Montgeron;23565
1010;92044;2013;0.72417588;0.81012903;0.71466909;0.749658;Levallois-Perret;65264
1044;93045;2013;0.66810161;0.61426393;0.50926944;0.59721166;Les Lilas;22819
1257;95510;2013;0.68122901;0.52657478;0.58187844;0.59656074;Puiseux-Pontoise;406
1508;77197;2006;;0.32258065;;;Frétoy;151
1662;77356;2006;;0.04189362;;;Passy-sur-Seine;39
1800;77500;2006;0.64168253;0.35303406;0.51482573;0.50318078;Villebéon;466
1806;77508;2006;0.47875668;0.40200688;0.55114407;0.47730254;Villeneuve-le-Comte;1755
1836;78007;2006;0.79605062;0.82183213;0.8839318;0.83393818;Aigremont;1063
1935;78281;2006;0.72062715;0.55736142;0.60092502;0.62630453;Goussonville;590
2018;78475;2006;;0.55267312;0.63595799;;Osmoy;404
2077;78638;2006;0.43836103;0.46561296;0.59170429;0.49855943;Vaux-sur-Seine;4745
2188;91330;2006;0.60444616;0.43984396;0.58977639;0.54468884;Lardy;5694
2240;91534;2006;0.37702694;0.64144619;0.72062104;0.57969806;Saclay;3003
2261;91599;2006;0.46462422;0.32675799;0.59295218;0.4614448;Soisy-sur-École;1358
2271;91635;2006;0.42333359;0.69357245;0.7632592;0.62672175;Vauhallan;2010
2316;92060;2006;0.55426686;0.5754412;0.58348986;0.57106598;Le Plessis-Robinson;23312
2420;95019;2006;0.57721749;0.22862547;0.42571946;0.41052081;Arnouville;12833
2430;95052;2006;0.40218635;0.34387374;0.41641589;0.38749199;Beaumont-sur-Oise;8776
2454;95142;2006;0.32319842;0.23010617;0.48855372;0.3472861;Chars;1766
2564;95554;2006;0.67333409;0.36381103;0.56737728;0.5348408;Saint-Gervais;953
2566;95563;2006;0.61251478;0.53843648;0.62634271;0.59243132;Saint-Leu-la-Forêt;14586
2749;77136;1999;;0.45955225;0.69597973;;Courquetaine;173
2782;77171;1999;0.49806631;0.26698321;0.52478948;0.42994633;Esbly;5129
2978;77374;1999;0.53484339;0.2688172;0.57038479;0.45801513;Pontcarré;1816
2982;77379;1999;0.33516923;0.11818986;0.28129354;0.24488421;Provins;11684
3132;78003;1999;0.42814428;0.23806199;0.488145;0.38478376;Ablis;2705
3222;78246;1999;0.55966502;0.34088233;0.5327302;0.47775919;Fontenay-Saint-Père;989
3242;78299;1999;0.33639694;0.30396389;0.56495635;0.40177239;Hardricourt;1914
3281;78385;1999;;0.17319053;0.50297608;;Ménerville;191
3451;91191;1999;0.47871686;0.3139646;0.55813051;0.45027066;Crosne;8148
3637;93030;1999;0.48492913;0.10786263;0.2423148;0.27836885;Dugny;8635
3672;94016;1999;0.46299726;0.42993312;0.50573634;0.46622224;Cachan;24835
3779;95241;1999;0.37019018;0.2441023;0.5080621;0.37411819;Fontenay-en-Parisis;1707
3781;95252;1999;0.54784383;0.28108644;0.49914001;0.44269009;Franconville;33492
20;75120;2013;0.62406554;0.67040616;0.43489665;0.57645612;Paris 20e Arrondissement;194771
72;77053;2013;0.53954338;0.41786217;0.54055195;0.49931917;Brie-Comte-Robert;16529
357;77349;2013;0.62281162;0.4159824;0.57485733;0.53788379;Othis;6463
392;77387;2013;0.44861174;0.36482405;0.48125924;0.43156501;Remauville;471
445;77441;2013;0.62308939;0.74258504;0.7030714;0.68958194;Samois-sur-Seine;2095
497;77494;2013;0.75400708;0.44033871;0.55552472;0.58329017;Vernou-la-Celle-sur-Seine;2713
539;78010;2013;0.76133401;0.69500733;0.80108379;0.75247504;Les Alluets-le-Roi;1229
683;78385;2013;0.74986152;0.3337566;0.58327278;0.5556303;Ménerville;219
1030;93006;2013;0.54248996;0.41013636;0.25360502;0.40207712;Bagnolet;35984
1308;75109;2006;0.58416825;0.84872551;0.67218091;0.70169156;Paris 9e Arrondissement;58497
1408;77093;2006;0.90588249;0.26332554;0.45641524;0.54187442;La Chapelle-Moutils;352
1453;77139;2006;0.57449978;0.39972327;0.58395494;0.51939267;Courtry;5983
1791;77489;2006;;0.20804087;;;Vaux-sur-Lunain;197
2037;78522;2006;0.61374242;0.76186311;0.72159544;0.69906699;Rochefort-en-Yvelines;913
2082;78646;2006;0.68063077;0.76830653;0.67622042;0.70838591;Versailles;87549
2138;91136;2006;0.39589625;0.31106081;0.53229074;0.4130826;Champlan;2439
2243;91544;2006;0.53875839;0.47807611;0.57887105;0.53190185;Saint-Cyr-la-Rivière;488
2257;91581;2006;0.52641986;0.53663011;0.66845005;0.57716667;Saint-Yon;876
2555;95509;2006;0.49136501;0.31842116;0.55272485;0.45417034;Puiseux-en-France;3414
2686;77070;1999;0.21797518;0.11993565;0.46831489;0.26874191;Chailly-en-Brie;1179
